,ID,starter,input,condition
0,8,8,247,Glt25d2
1,7,15,216,Glt25d2
2,11,24,401,Efr3a
3,12,24,434,Efr3a
4,10,41,2602,Efr3a
5,6,45,1198,Glt25d2
6,2,54,3105,Tlx3
7,9,59,1541,Efr3a
8,4,82,2011,Tlx3
9,1,83,1702,Tlx3
10,5,91,2088,Tlx3
11,3,153,1157,Tlx3
