,ID,starter,input,condition
0,425356,2.0,6375,LEC
1,425357,4.0,8688,LEC
2,425359,6.0,13611,LEC
3,431437,11.0,25806,PAG
4,425345,15.0,45611,BLA 
5,425346,25.0,33112,BLA 
6,459702,26.0,11553,RE
7,431442,27.0,30198,PAG
8,431438,31.0,24051,PAG
9,425347,37.0,41931,BLA 
10,425352,49.0,63831,RE
11,425354,50.0,52401,RE
12,425344,60.0,47108,BLA 
