,ID,starter,input,condition
0,425356,0.3010299956639812,3.804480189105993,LEC
1,425357,0.6020599913279624,3.9389198122447717,LEC
2,425359,0.7781512503836436,4.133890033985679,LEC
3,431437,1.0413926851582251,4.4117206929377355,PAG
4,425345,1.1760912590556813,4.659069594050213,BLA 
5,425346,1.3979400086720377,4.519985413392703,BLA 
6,459702,1.414973347970818,4.062694773342393,RE
7,431442,1.4313637641589874,4.479978180780783,PAG
8,431438,1.4913616938342726,4.38113313831705,PAG
9,425347,1.568201724066995,4.622535219887546,BLA 
10,425352,1.6901960800285136,4.805031648300712,RE
11,425354,1.6989700043360187,4.719339574967274,RE
12,425344,1.7781512503836436,4.673094666382114,BLA 
