density,density_real,seed,kept1,kept2,kept3,kept4,kept5,kept6,kept7,kept8,kept9,kept10
22.787680687547578,22.0,50.5,1.1627272727272742,1.3636363636363638,1.3568181818181821,1.765454545454545,1.2522727272727272,1.3472727272727267,1.5718181818181822,1.7963636363636366,2.0209090909090897,2.245454545454546
23.699187915049478,23.0,50.5,1.1639130434782619,1.3686956521739138,1.3539130434782611,1.7686956521739128,1.2652173913043465,1.3591304347826074,1.5856521739130431,1.8121739130434775,2.038695652173913,2.2652173913043456
24.647155431651463,24.0,50.5,1.1600000000000001,1.3625000000000003,1.36125,1.7666666666666664,1.2645833333333336,1.3625,1.589583333333334,1.8166666666666667,2.04375,2.270833333333334
25.633041648917523,25.0,50.5,1.1604,1.3616000000000006,1.3643999999999992,1.7631999999999994,1.264,1.368,1.5960000000000019,1.823999999999999,2.052000000000001,2.2800000000000002
26.658363314874222,26.0,50.5,1.1600000000000008,1.3630769230769237,1.3615384615384616,1.761538461538461,1.2653846153846156,1.3730769230769235,1.601923076923077,1.8307692307692305,2.0596153846153844,2.2884615384615397
27.72469784746919,27.0,50.5,1.1614814814814833,1.3651851851851848,1.366666666666667,1.757037037037036,1.251851851851852,1.3622222222222222,1.5892592592592585,1.8162962962962959,2.043333333333334,2.270370370370371
28.83368576136796,28.0,50.5,1.161428571428571,1.3621428571428573,1.363928571428572,1.7500000000000007,1.2428571428571429,1.3478571428571433,1.5725,1.7971428571428576,2.021785714285713,2.246428571428571
29.987033191822682,29.0,50.5,1.1606896551724135,1.3620689655172418,1.3624137931034477,1.7462068965517243,1.2448275862068956,1.3551724137931034,1.58103448275862,1.80689655172414,2.032758620689656,2.258620689655172
31.18651451949559,30.98,50.5,1.1617311827956978,1.3609677419354842,1.3614516129032253,1.7522580645161296,1.2491935483870973,1.3615483870967742,1.5884731182795706,1.8153978494623662,2.042322580645161,2.2692473118279577
32.43397510027541,31.98,50.5,1.1619858870967743,1.358407258064516,1.363881048387097,1.747459677419355,1.2398185483870967,1.3545967741935483,1.5803629032258066,1.8061290322580645,2.0318951612903224,2.2576612903225803
