,LGd
0,0.5779174307970476
1,1.082663091089938
2,0.370330304961611
3,0.11493818599346073
4,0.20910218604176178
5,0.5160217008349981
6,0.3477020591955773
7,0.542737163676708
8,0.7632129359382345
9,0.5383700089841839
10,0.5746463837279332
11,0.5141442005795738
12,0.5283071829791672
13,0.11071212043873513
14,-0.0025963250952685257
15,0.5845762694705754
16,1.4170337580337402
17,0.0419891544339005
18,0.5720828653662039
19,0.3974580127478471
20,0.719542833173997
21,0.6294797806173279
22,0.3631953227925836
23,0.1715423662304041
24,0.7274565719130555
25,0.48031084602690177
26,0.574987152066837
27,0.35095812188656494
28,0.20435583261005685
29,0.8114444769893003
30,0.8628361502354659
31,0.4236043096465917
32,0.8365443305901344
33,0.586669609237362
34,0.45509561530061104
35,0.4098657583252633
36,0.5823779194038853
37,0.49469737762459676
38,0.30480756452421875
39,0.7006215593215298
40,0.2321990568360065
41,0.5397429005597876
42,0.22224769345253548
43,0.6391509094572447
44,0.6554634515892479
45,0.596163533471011
46,1.1954545004507615
47,0.6096412621544245
48,0.5043384298627521
49,1.2410371492972185
50,0.6594255067743876
51,0.3053947520142611
52,0.5779029540259066
53,0.7606236651091789
54,1.0377508986714394
55,0.5373608404639469
56,0.26589135518757867
57,0.34215015957140515
58,0.6266106636895228
59,0.5610682948035528
60,0.4420946702388614
61,0.5779855505736591
62,0.730440978305621
63,0.26382835670037263
64,0.3496153591090564
65,1.355120672800488
66,0.33082345263982593
67,0.6150999667761666
68,0.4951361708891313
69,0.6347400265374601
70,0.6034296001261232
71,0.25169950408906416
72,0.756356871351767
73,0.6324529657434371
74,0.4826940206119211
75,0.5484062842091344
76,0.6369956848266296
77,0.491406028654969
78,0.5894233481498484
79,0.305449265042801
80,0.5187990269459434
81,0.26602043611782866
82,0.4886695463440591
83,0.22104229972083855
84,0.5060066847692817
85,0.5062637446801954
86,0.5553309033165934
87,0.6609848730329749
88,0.2009421946933031
89,0.5003274363646842
90,0.49585269261095366
91,0.5421715301863883
92,0.4139513718236747
93,0.47288563744133505
94,0.49794623431242724
95,0.4923859940159261
96,0.8729852052846336
97,0.4660575644891094
98,1.1630828849028942
99,1.2084329659566158
100,0.6538256852427261
101,0.6395769502930824
102,0.39225408855760047
103,0.9091038818896324
104,0.37249102573912196
105,0.7023686602290211
106,0.7492356379589031
107,0.3220216321897996
108,0.5958414458456304
109,0.6579279081586396
110,0.17773621957181762
111,0.23250112199734016
112,0.46644672661991915
113,0.4724572815206537
114,0.8102365033387577
115,0.5741461747772274
116,0.516520511481911
117,0.7844333422542246
118,0.4386914717611041
119,0.909500258780192
120,0.7740053183339473
121,0.70256917130712
122,0.6894944372389383
123,0.69281823871187
124,0.39783546286024885
125,0.28692323496042316
126,1.2731196492748784
127,0.6316855202323685
128,0.721640687063289
129,0.8287478641564953
130,0.827191371778446
131,0.521348930922328
132,0.5185360157425053
133,0.692838479690384
134,0.7533897563329828
135,0.4644576645183618
136,0.6175158531551665
137,0.4321003231235532
138,0.6848802566296985
139,0.532620780553266
140,0.6235655896558631
141,0.7337933115958235
142,0.5749491594311987
143,0.5681818651606054
144,0.7007066214817684
145,0.47658658464951253
146,0.5171861366886262
147,0.34560758215714427
148,0.6092390138790595
149,0.4801979719681576
150,0.5080344661355374
151,0.5966918556506435
152,0.49149696216570427
153,0.24059659328346278
154,0.8412905857535369
155,0.3783173373525427
156,0.5507899690294412
157,0.3977960379144827
158,0.8923925646313805
159,0.5463500959297191
160,0.7452200135787574
161,1.121139908561286
162,0.7686529006489671
163,0.6396803779547693
164,0.2879397816088012
165,0.33486784205460896
166,0.27706121382523996
167,0.6456253999844176
168,0.670953281971044
169,0.5308940443286968
170,0.7435794389320751
171,0.7102575714781911
172,0.2062219175900073
173,0.9525704350700275
174,0.5222366594314954
175,0.3253221560078813
176,0.20682509447071729
177,0.6408203478090603
178,0.8434213479085007
179,1.5259816998555356
180,0.8151792704572214
181,0.7150304637065894
182,0.6047004832674083
183,0.6790468987202147
184,0.6485535937425608
185,1.1653252871227298
186,0.5841865444273409
187,0.6735789504653071
188,0.7305359526913264
189,0.6358515971325789
190,0.606851872768971
191,0.30824890647744263
192,0.5362877489843318
193,1.2110992271368233
194,0.8381061861578791
195,0.46306897760541366
196,0.3218151654363726
197,0.535321270313692
198,1.2488783844255906
199,0.18472542948453652
200,0.588147321433859
201,0.1553680734631735
202,0.5215103140908262
203,0.27538069423016787
204,0.7817823618088907
205,0.20675356661730826
206,0.2753878576134138
207,0.6345066778295846
208,0.26426664348366435
209,0.5305124114784272
210,0.5885496066402508
211,0.45714562274891035
212,0.735791251937267
213,0.757113349373298
214,0.3838795502485203
215,0.8445632710833774
216,0.7665148255028359
217,0.7055297389188484
218,0.5955663273969454
219,0.7324948070680865
220,0.7134418081465932
221,0.5264096854300655
222,0.47367256568387883
223,0.2279878150029876
224,0.22082107659467332
225,0.5922547008128912
226,0.3210446413226167
227,0.5915184282562966
228,0.5154461990741079
229,0.6854218719724509
230,0.953429737760289
231,0.24394100811723574
232,0.6395938209363042
233,0.5133132956961003
234,1.2158978587246065
235,0.3518631509336714
236,1.1750195859572292
237,0.5678256987441352
238,0.44680972196359725
239,0.27677432789293854
240,0.3927530892838651
241,0.467695260132407
242,0.09781025517429054
243,0.9022963791505048
244,0.49604764666000123
245,0.4508518386818232
246,0.9628980696425866
247,0.5631474913219205
248,0.6106466511330755
249,0.39180031402249726
250,0.4497558166350343
251,0.8356110501030535
252,0.5422506461129176
253,0.8738598215693226
254,0.21842514736219953
255,0.355841192926442
256,0.5205831023258028
257,0.6882003032652471
258,0.376564993921902
259,0.6972734409895379
260,0.5368506647429809
261,0.7628399509912573
262,0.6737118342590782
263,0.6717109319270184
264,1.1098502070217462
265,0.7125500748897171
266,0.6605122310204223
267,0.6686330313156142
268,0.31598784827890103
269,0.28511052791809577
270,0.5380632424164075
271,0.577586971728719
272,0.6139346419955334
273,0.732130627883092
274,0.4684332307523936
275,0.8196700405434494
276,0.4806049587249027
277,0.5911616684586201
278,0.8553752266415922
279,0.47643694642701073
280,0.7325029056468426
281,0.589514882060727
282,0.48086227011754734
283,1.2489407284191834
284,0.5068471430223733
285,0.435084307605905
286,0.34905091870992244
287,0.7045679630339018
288,0.8852712080465281
289,0.5731872024874676
290,0.310618754991869
291,0.8672955523683746
292,0.7274686056452978
293,0.16513985780552098
294,0.29385965143619364
295,0.3202282828344347
296,1.5210077618715117
297,0.504495966190547
298,0.8295222464073491
299,1.2519394951244547
300,0.10703067038257985
301,0.5938618684820649
302,0.5840947401487306
303,0.37472774101003636
304,0.5817658151253804
305,0.37739114305442945
306,0.24835834540279644
307,0.25379045898012176
308,0.09180650357802744
309,0.3444195131716842
310,0.27391723542946983
311,0.300716605979202
312,0.3871586174880659
313,0.3618176125828616
314,1.0974814099389736
315,0.6352190425932317
316,0.7594842232176466
317,0.814399907350852
318,1.211613283230908
319,0.46680467871579234
320,0.8166193657594084
321,0.41803354159491946
322,0.6364968979152101
323,1.324933505887303
324,0.48110816578911
325,0.5318343015543764
326,0.3571935191404122
327,0.787413273996877
