,area,mean int,median int,95%quant-low,95%quant-high
0,PTLp,1.466392947781595,1.4905817673496737,0.6391975021829752,2.1196442768856776
1,TEa,0.6057587510387947,0.5777300256013134,0.03844178891923823,1.2441124231139291
2,VIS,2.7810632984870622,2.8079368415189547,2.1974771661348598,3.2692015757309663
3,AUD,1.289667478297094,1.2697342531132922,0.8175570305934189,1.8551337221353288
4,RSP,2.691783861427299,2.7132626778148174,2.0710018674082136,3.252351059345328
5,Thal,2.7323341528030682,2.7393791744425453,2.350102543042282,3.0968036066283178
6,Thal_noLGd,2.704230464945778,2.7137462231049705,2.2904244214574683,3.0795739566968723
7,Dist_ctx,2.1089049210541133,2.1054365251723945,1.547772984744391,2.641765761817903
8,VISp,2.3312344556696916,2.3666883322188528,1.6134662209497481,2.932141325318394
9,VISpm,2.291450758122581,2.332889537562989,1.313837314462801,3.034238687477287
10,VISl,2.0046223168031045,2.0134739156273556,1.6262980699934801,2.3451829055038824
11,VISam,2.0118287590940627,2.047117360369522,1.4114447565052717,2.4989898308476852
12,VISal,1.4952520652092303,1.4818144147834529,1.0863191549634943,1.9515217636195288
13,RSPagl,1.8670236833509934,1.8855275616593308,1.1493375183839956,2.492372550617858
14,RSPd,2.2020678222005796,2.225236787072472,1.5433664851069324,2.7799610202872653
15,RSPv,2.4006227193905465,2.409971311412969,1.8021928747019427,2.9477145390366255
16,AM,1.7064714555887768,1.6998569682345916,1.2783637880025647,2.137473248026205
17,LD,2.1552992007532663,2.1487978222854167,1.8875107921302814,2.4318470726934347
18,LP,2.4870100913034796,2.5164097837678243,1.8760874717127292,2.946822620141381
19,LGd,1.465703642357358,1.5089437117702014,0.5995940640224678,2.1984806571587687
20,ORB,1.8227312475211823,1.8846142840587978,0.6953312333794274,2.6116895341641135
21,ACA,1.147262918832271,1.1519989930863384,0.5267889890498194,1.7452736698460134
22,MOs,0.36587935803159005,0.35612758977789144,-0.35521811858163005,1.0948687095664484
23,CLA,0.713697700989702,0.7370852248660784,0.052723903564149285,1.3059039105043488
24,input,3.2313566412124417,3.2327419254380763,2.751729975908593,3.704178358482902
