,LGd
0,0.8392688407671905
1,0.8228585589898918
2,0.8746965444260691
3,0.9680359322086173
4,0.7324186126659706
5,0.6333665204109606
6,0.9553094636578872
7,0.8072380740316606
8,0.6844182656951104
9,0.8735164710830889
10,0.6577204763606216
11,0.6988656677195522
12,0.7511797745722211
13,0.8849605257111816
14,0.880312175198098
15,0.9644267651913496
16,0.8414225680599681
17,1.2413429419576247
18,0.7511355143118421
19,0.623159386409498
20,0.904011571432999
21,0.7628707143825375
22,0.7619148764277963
23,0.8429752851475001
24,0.7040551153910044
25,0.8871133764079245
26,0.8902199745921872
27,0.7939152219456439
28,0.7669406311302365
29,0.9295742776433475
30,0.7989240839460922
31,0.9203172873366764
32,0.7226932511838932
33,0.9047232599879523
34,0.6650581226397662
35,0.6806486409444403
36,0.7470852296484969
37,0.9433932510984965
38,0.6183592445180708
39,0.7328334714931053
40,0.9271856501582689
41,0.5755883565867044
42,0.9286593170483748
43,0.7455939750029209
44,0.8559887529903455
45,0.720279477545589
46,0.9213955348676712
47,0.9533747180385381
48,0.6728586837738987
49,0.8941821050714551
50,1.0786941002954098
51,0.7170884693009245
52,0.8767093023818241
53,0.7886396256160992
54,0.720906393415527
55,0.727300547936141
56,0.888088972361755
57,0.7892102310001526
58,0.7133631212086409
59,0.978252789762246
60,0.9914508897945433
61,0.7764862962203005
62,0.8688979069185422
63,0.8738408557357986
64,0.8807528161205421
65,0.8901905888397827
66,0.8713817649651958
67,0.8603694230055261
68,0.9042333688579356
69,0.8894215832745449
70,0.7300523905968801
71,0.8966057955329249
72,0.6690010329319793
73,1.0307811847131447
74,0.8470847597203137
75,0.7403802674247222
76,0.8302022399894718
77,0.5848461961893894
78,1.0002025215583092
79,0.9732167596198634
80,0.7387162341280216
81,0.825297557352271
82,0.922363796509994
83,0.7414672640604885
84,1.007663054161
85,0.6115287562119126
86,0.6321054540354548
87,1.095993903748628
88,0.8339558176951024
89,0.7114137801555204
90,0.7162528576164964
91,1.2189864690272383
92,0.7787359241793805
93,0.9267998204102212
94,0.7444007518545659
95,1.1146229335326714
96,0.687936272208256
97,1.026216895010102
98,1.221071578507349
99,0.9973404549674372
100,0.9939442713571254
101,0.7007337139435621
102,0.8655325422223061
103,0.7732886468365274
104,1.1624604591935723
105,0.7524443657134658
106,0.6595406714373612
107,0.8763658046783235
108,0.7720816843247855
109,0.786946474105821
110,0.9183975187120376
111,0.8521651952332193
112,1.021775211768617
113,1.020341307442551
114,0.9727735483616758
115,0.7998162909802513
116,0.9919850843296127
117,0.9837274334912773
118,0.7680369681155087
119,0.8564796521764397
120,0.5160402592773035
121,0.7998935339638906
122,0.7307320645892933
123,0.7701333856880754
124,0.8421249205468375
125,0.8417322155111799
126,0.7860867549225043
127,1.0324686018328326
128,0.9333920442156106
129,1.038097597812019
130,0.8451787759177471
131,0.6101054783327299
132,0.8539829717486878
133,1.0067346668628303
134,0.9541539866035804
135,0.7662666088368041
136,0.9185452158064367
137,0.9109019325761618
138,0.8685037000404101
139,0.9698894260807843
140,0.9530251787035706
141,0.7344260764441425
142,0.5842795124716511
143,0.8782119914486198
144,0.8608455706888124
145,0.9271629147834701
146,0.757243748246456
147,0.8405772280021004
148,0.746287475940379
149,0.7365550540481236
150,0.8374717244389531
151,0.6838840128114366
152,0.69289845488732
153,1.0090108887884133
154,0.7156930540432425
155,0.7430988238570655
156,0.7511557596026021
157,1.08853395263244
158,0.7054341075931363
159,0.829117061597451
160,0.803445347125472
161,0.9269629140270593
162,0.6568527358319808
163,0.7132586601902408
164,0.6697706405595318
165,0.6762262590631125
166,0.688159672398307
167,1.0871067500374372
168,0.9227768476316044
169,0.9108697483133149
170,0.580260445132167
171,0.6689997996990514
172,0.7828861082702103
173,1.0858589914388175
174,0.8665291190167633
175,0.9391821002102816
176,0.886645994986583
177,0.6967436663053792
178,1.0944793373805919
179,0.7130890622455608
180,0.7035066362664315
181,0.6645991927988046
182,0.7648237279386697
183,0.7604088476171562
184,1.0859504610631256
185,0.7042380157725323
186,0.8474672366882283
187,0.7034329016382834
188,1.073424684790696
189,0.7691945841181889
190,0.6139080458992578
191,0.997690397106711
192,0.7288749946845825
193,0.7710313047459743
194,0.7462076796749815
195,1.1040090486081864
196,0.7556082543004301
197,0.7478597642494611
198,0.7039342325737408
199,0.6813355360403073
200,0.6978797239910881
201,0.9445601694867866
202,0.9451479383349283
203,0.8213426412864135
204,0.9426956637536732
205,0.6888080007190391
206,0.8287671293359445
207,0.953109605371342
208,0.838124716735607
209,0.7767320969124788
210,0.9045089632642798
211,0.6722192334013799
212,0.9478982301590765
213,0.7733514872894194
214,0.8560436253846875
215,0.813540032914104
216,0.7814861313503196
217,0.8682068601765935
218,0.8137304897448521
219,0.8474768417940406
220,0.9842982147467371
221,1.046617024234092
222,0.837863303340733
223,0.724532578267202
224,0.9106454977616516
225,0.6858975987561865
226,0.7544521063056588
227,0.9656782987360788
228,0.6910500818849243
229,0.994766638401039
230,0.8607232790770666
231,0.991807065196035
232,1.0422886537398302
233,0.7983274263948676
234,0.6656884414454199
235,0.7855391514868029
236,0.9461080203812813
237,0.9602713286889708
238,0.9942717362411548
239,0.8278821942245016
240,0.9450949482894789
241,0.6084455996978144
242,0.7159915924490061
243,0.7754665425365346
244,1.2027922404377267
245,0.8947733228058732
246,0.8971326459929495
247,0.7852878840813695
248,0.8531047796225439
249,0.6485227909454633
250,0.8380226297458944
251,0.8988474985981062
252,0.49426788762854357
253,0.7352214231054804
254,1.1095600814671653
255,0.9282519639664558
256,0.7991804294060789
257,0.71229007292486
258,0.8577537968340216
259,0.8118150930770751
260,0.8341713581832693
261,0.8794743168033727
262,0.7608592728611019
263,0.8248260038830706
264,0.9018071690746602
265,0.6929483231630545
266,0.6980259261514198
267,0.836291465752725
268,0.9271194330451095
269,0.7835439908127496
270,0.7977916465826881
271,1.0177388402403527
272,0.6776089952575062
273,0.7951931123979024
274,1.1373591330945063
275,0.7833085186207182
276,0.8974309042581147
277,0.6653145555891328
278,0.94602789857672
