,area,mean int,median int,95%quant-low,95%quant-high
0,PTLp,1.1320793886112863,1.1391724750049632,0.6083509419023952,1.5977194179763543
1,TEa,0.8025193000425915,0.7971815769059706,0.37474368880159176,1.2480259298957281
2,VIS,2.835008213380311,2.8389821778685187,2.575456409410543,3.0733664790750703
3,AUD,1.196984432918698,1.1917327279147947,0.74657793725162,1.663285713091482
4,RSP,2.519875505008751,2.5174523946634366,2.1873903589251724,2.866685907914375
5,Thal,2.596179484807608,2.5927956880049967,2.375058137028633,2.8470456672178095
6,Thal_noLGd,2.4047653821871005,2.396256190895622,2.1456007542930267,2.708795467384366
7,Dist_ctx,1.9720398830847752,1.9645315873037048,1.5984298110049662,2.3687613366681766
8,VISp,2.6644659823479944,2.6765599388507195,2.346680970702016,2.9152741727195677
9,VISpm,1.8820381645392585,1.8755594850404043,1.5418483008804444,2.2340493968466415
10,VISl,1.3635701171345882,1.37235194868143,0.8485369096323739,1.8375706740289368
11,VISam,1.3763463842538781,1.379878994621162,0.8140244888384015,1.936914242032252
12,VISal,1.4664367833841152,1.4657209937476434,1.0815591097323007,1.8509336543510937
13,RSPagl,1.7216639611036786,1.7260113761553428,1.3445260033226363,2.1058613233486296
14,RSPd,1.9934946741769017,1.9907739833994267,1.6451622136934236,2.3678377843406078
15,RSPv,2.240587694213223,2.236737312107472,1.9106044053337439,2.568991742520294
16,AM,0.8934898495506848,0.9151756870237443,0.21131303797875767,1.4974865335759078
17,LD,2.070565212612426,2.0627347324243814,1.9017305653257355,2.2826220637599173
18,LP,1.962593225976211,1.9658153664219609,1.4983645408235746,2.4084537027711677
19,LGd,2.0998556932500474,2.098307590556911,1.8700167028859092,2.3326072324081806
20,ORB,1.4532536551340791,1.449409848636674,1.0242813132774686,1.8921363554670492
21,ACA,1.1176815497638593,1.1070809249613598,0.7716369970547604,1.5162262140132803
22,MOs,0.8054110238728673,0.8144191851739304,0.3553746468850339,1.2150302116794118
23,CLA,0.7013749076540137,0.6942192043747155,0.3458773364114339,1.1032186721419075
24,input,3.2797124152201547,3.281527661421548,3.0694677301127475,3.4917703523783405
