,area,mean slope,median slope,95%quant-low,95%quant-high
0,PTLp,0.6121198762559674,0.6065042020911591,0.33098578951705987,0.9441348360732663
1,TEa,0.8884265024556338,0.8951323997608318,0.6250721193237402,1.136126818744565
2,VIS,0.4820057268537484,0.4756588792723073,0.2640732764087145,0.718819651991977
3,AUD,0.7424980109227106,0.7466442368437954,0.5121583963407995,0.9495966264877871
4,RSP,0.44190016426901113,0.4365531822051062,0.19932014207837617,0.6949603149310578
5,Thal,0.36370102101034485,0.3627502006632368,0.2101744883051433,0.5253109080483473
6,Thal_noLGd,0.3501899814745255,0.34683576886287354,0.1899358039661887,0.520503045125927
7,Dist_ctx,0.6848217974517331,0.6843656629726295,0.4645469321312735,0.9149920220908406
8,VISp,0.5458529900785305,0.5393885547674278,0.2794344205816741,0.8380175376858592
9,VISpm,0.3297194815666156,0.32287360529012366,-0.0070892762089088445,0.7233864234586337
10,VISl,0.45577771696613306,0.4537687620459874,0.30641751756686075,0.614557615556428
11,VISam,0.391242092578831,0.38389397712966133,0.17171275098803387,0.6298945185763747
12,VISal,0.5492040589837843,0.5521729310180198,0.36703134115297725,0.7240329656932022
13,RSPagl,0.5064842737804367,0.5016180764371366,0.24290106689411206,0.7993862682334052
14,RSPd,0.4474599233635514,0.44195453586795047,0.19592356093159402,0.7190859110616586
15,RSPv,0.4168535167876662,0.41381675749530306,0.18323985665822268,0.6603616716963414
16,AM,0.3794131584189973,0.37979335825651334,0.19993782959285827,0.5596090732135569
17,LD,0.338131505259302,0.33965406917043817,0.22378951568520178,0.45159651514728244
18,LP,0.3488330340759435,0.3402432985860165,0.14315297557685233,0.6032021105962481
19,LGd,0.4800614152036904,0.4696964126115113,0.16024184334327168,0.8313232603474373
20,ORB,0.5060583046829811,0.4925458237481848,0.14382629826089205,0.972355165249334
21,ACA,0.7686721287492123,0.7675846730618537,0.5220768676420702,1.0256692174496622
22,MOs,0.8999229225144499,0.901737334078925,0.6055743612807719,1.193741750118281
23,CLA,0.7194799121396164,0.7144660690617382,0.4639528088784704,0.996550417099529
24,input,0.5173830903738235,0.5177449140866067,0.31882771182157815,0.7180374190608233
