,ind,area,ratio_low,ratio_high,ratio_fit_low,ratio_fit_high,slope_low,slope_high,ratio_fit_diff,ratio_fit_ratio,p
279,19,4,0.007169247990317362,0.020261197149223486,0.006727819599679054,0.02037441659602865,-3.491350110976486e-05,-2.16531448040051e-06,0.013646596996349595,3.0283833111400007,0.00013709426192112182
54,61,4,0.014835445461567691,0.04066067754738452,0.014779113632062805,0.04031833804131328,4.5293085665719915e-05,-1.126098161016005e-06,0.025539224409250477,2.728061982948961,0.00019027692313774514
456,33,1,0.015875072863081086,0.052526793227338706,0.015799488421660367,0.05289108785983974,-3.174973396609489e-05,-7.938584793644231e-07,0.03709159943817937,3.347645597646599,0.0001925412650615156
137,83,2,0.027862452884841148,0.060877314528462595,0.027133244108467385,0.06158117343289522,-1.5885735750369756e-05,5.762756928492114e-05,0.034447929324427834,2.269583879712997,0.00019508616089146874
468,56,3,0.010487505552252403,0.033790168169649276,0.010336604769617182,0.03408581300296669,4.2473116656323244e-05,1.9363108388184713e-05,0.023749208233349507,3.297583080970316,0.00020457117629530598
85,82,0,0.0319167908927337,0.06461633470623601,0.03172561719988134,0.06492285876893526,2.4254342077931335e-06,5.756186272766773e-05,0.033197241569053924,2.04638599652454,0.00022328790912994295
243,79,3,0.004339864373265616,0.016428109767819225,0.004553759203776449,0.016303014149092368,3.364705697617398e-05,1.9194421770799936e-05,0.01174925494531592,3.5801221407518034,0.00022899517120129236
402,52,2,0.005666474499360482,0.02136241596640741,0.00563150389408142,0.021233210130027654,4.9415638613032234e-05,2.7669517819600152e-05,0.015601706235946235,3.7704333565929455,0.0002297940737726462
8,34,3,0.030307152176251576,0.09125330418946571,0.030357790391201192,0.09205818970158333,8.617999514851747e-05,8.098871977720814e-05,0.06170039931038214,3.0324403889508766,0.0002463221762388504
174,6,4,0.033682763181652635,0.102361613039165,0.033315435277651205,0.10250799060526897,9.644761432726978e-05,3.7437938824976426e-05,0.06919255532761776,3.0768918295968892,0.0002484394234472056
186,25,1,0.0077147095126887675,0.025684993395064793,0.007474182346860649,0.025638057653484685,3.9630379861705416e-05,2.2413347881837436e-05,0.018163875306624035,3.430215703026477,0.0002516262666437349
277,19,2,0.027929821827212382,0.09641125435157784,0.028403258229701786,0.09607414384575112,0.0001510113685875765,8.639153189401167e-05,0.06767088561604934,3.38250432639748,0.0002588496148811991
71,3,1,0.022783039991238964,0.09759006446450873,0.022137347892655545,0.09707564846967653,0.00022342107239511956,5.202349031901238e-05,0.07493830057702099,4.385152591014893,0.0002597253397785732
444,42,4,0.013848031527082413,0.033202686516443515,0.013544387390059627,0.033849186610730095,-7.382154704892754e-05,1.62021725404917e-05,0.020304799220670466,2.4991301293975376,0.0002631428957792566
199,40,4,0.04071858362620417,0.10383468762710363,0.042390297763155824,0.10327389221847422,0.00015598392074743213,5.488774479401082e-05,0.06088359445531839,2.4362624861823052,0.00029496195429151674
483,46,3,0.013871631082317676,0.040417815247930686,0.014892969248459776,0.039647119850271244,0.00010089318070316211,-3.325320816650877e-06,0.024754150601811468,2.662136689389292,0.00030273547263079945
159,35,4,0.0086752077573018,0.027942029403568838,0.008837485409562418,0.027897912574775807,4.2415715655801275e-05,1.6492780839139533e-05,0.01906042716521339,3.1567704252829034,0.000351527543297332
499,81,4,0.03368903458235762,0.08485557678629466,0.033421524809158165,0.08526288884614741,-2.2441270373565053e-05,7.151202555515526e-05,0.051841364036989246,2.551137009248114,0.00036128927265649443
294,78,4,0.04230007810653614,0.1126818932785019,0.04332620593085804,0.11156310034261445,9.631709999906803e-05,3.612677463312767e-05,0.0682368944117564,2.574956609878372,0.00036310654971889993
146,70,1,0.016973828974127678,0.057354115357241504,0.01701338663775127,0.05770402061278901,7.724928592684696e-05,1.9966750110291736e-05,0.040690633975037735,3.391683375063531,0.00037936324246837824
130,15,0,0.1186853167205494,0.18325055902656417,0.11987233971306849,0.1827972942621971,0.00024202145041085375,-6.135731920343114e-06,0.06292495454912861,1.5249330637889311,0.00040958355880913334
288,68,3,0.03847052140601739,0.09197752440200883,0.03837122447712214,0.0930942260315857,-2.1381628877778263e-05,5.402164071211637e-05,0.05472300155446355,2.4261468665690025,0.0004524371799075013
208,88,3,0.0157327066016914,0.048039293905216524,0.015148933304266901,0.0479460794144091,4.5756032220275134e-05,3.257215330244297e-05,0.0327971461101422,3.164980560110093,0.00046345775600964575
52,61,2,0.056019072264508106,0.12720214577559083,0.05466802493700292,0.12794236947859697,0.000165620602967059,5.743093451385183e-05,0.07327434454159404,2.3403510484608185,0.0005220747361159196
6,34,1,0.07241605408998027,0.17164454930884548,0.07046868356299994,0.1744069340951375,-0.00014175184894887002,0.00010187071256664543,0.10393825053213755,2.4749566087638826,0.0005292701078801037
162,64,2,0.029920953590740658,0.05095718108523559,0.02955410614688401,0.050706612790033107,0.00014675414150611731,2.36028103800724e-05,0.021152506643149098,1.7157214140742767,0.0005374571313274639
412,66,2,0.019409753105232793,0.06227499704788416,0.019655753377862926,0.06231451022204781,9.130395302292299e-05,5.161696929977365e-05,0.04265875684418488,3.170293655201679,0.0005490998038225985
283,39,3,0.03707321980396485,0.06102478398692458,0.035176417375742244,0.062473259213381704,-0.0002228019866219466,2.789726740324248e-05,0.02729684183763946,1.7759983498621845,0.0005584303665586174
452,91,2,0.03464250224514415,0.11143180091891977,0.03400909608953042,0.1124583064120887,-1.0055513794665141e-05,0.0001009105829774582,0.07844921032255828,3.3067125958313426,0.0005610152359466504
