,ID,starter,input,condition
0,m2,1,988,V
1,g1,8,5782,XII
2,v4,12,1740,VII
3,m1,16,2416,V
4,m4,17,2722,V
5,v2,18,2585,VII
6,g4,18,1156,XII
7,v3,20,4256,VII
8,v1,26,1915,VII
9,m3,27,3632,V
10,g3,40,5345,XII
11,g2,43,5276,XII
