,ID,starter,input,condition
0,AB_Bx_24_1,1,1298,Scnn1a
1,AB_GAD2Cre_331,1,420,GadOff
2,BY_33_2,2,11790,Rbp
3,AB_GAD2Cre_338,2,946,GadOff
4,AB_GAD2Cre_332,6,2296,GadOff
5,BX_Scnn1a-15_1,11,2999,Scnn1a
6,AB_GAD2Cre_316,24,13612,GadOff
7,MV_Ntsr1_213,43,2895,Ntsr1
8,AB_BY_RBP-22_2,52,10647,Rbp
9,BX_Scnn1a-18_1,59,17487,Scnn1a
10,AB_GAD2Cre_315,66,20276,GadOff
11,BX_Scnn1a-18_2,92,12942,Scnn1a
12,MV_Ntsr1_169,295,3102,Ntsr1
13,MV_Ntsr1_165,328,6266,Ntsr1
