,ID,starter,input,condition,cell_type
0,28,1.505149978319906,2.3654879848909,PV_V1_P5,interneuron
1,40,1.5563025007672873,3.2778383330020473,SST_V1_P5,interneuron
2,34,1.6020599913279623,3.4771212547196626,SST_M2_P5,interneuron
3,22,1.7160033436347992,2.606381365110605,PV_M2_P5,interneuron
4,23,1.9444826721501687,3.1360860973840974,PV_M2_P5,interneuron
5,29,1.9444826721501687,3.519565500880509,PV_V1_P5,interneuron
6,30,1.9637878273455553,2.7634279935629373,PV_V1_P5,interneuron
7,24,2.1702617153949575,3.178401341533755,PV_M2_P5,interneuron
8,32,2.2041199826559246,4.397314173908845,SST_M2_P5,interneuron
9,39,2.3180633349627615,4.117138666403885,SST_V1_P5,interneuron
10,26,2.326335860928751,3.9458623244896174,PV_S1_P5,interneuron
11,35,2.342422680822206,4.360820535237942,SST_S1_P5,interneuron
12,41,2.3502480183341627,4.096771016533225,SST_V1_P5,interneuron
13,25,2.505149978319906,3.785044958331544,PV_S1_P5,interneuron
14,37,2.593286067020457,4.365338202346941,SST_S1_P5,interneuron
15,36,2.606381365110605,4.464966204890961,SST_S1_P5,interneuron
16,27,2.6148972160331345,3.593728998707911,PV_S1_P5,interneuron
17,31,2.681241237375587,4.572732234017682,SST_M2_P5,interneuron
18,38,2.800717078282385,4.528093588006807,SST_S1_P5,interneuron
19,33,2.940516484932567,4.776323372323084,SST_M2_P5,interneuron
